classifier,strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
Neural Network,Random Sampling,1.0,0,6559,0.5463414634146342,0.1780742446381878,0.00012236375075120194,0.22594046592712402
Neural Network,Random Sampling,1.0,1,6559,0.5445121951219513,0.18359846499343677,0.00011785213763897236,0.2157577551328219
Neural Network,Random Sampling,1.0,2,6559,0.5359756097560976,0.1537732254294884,0.00012819583599384015,0.22649794358473557
Neural Network,Random Sampling,1.0,3,6559,0.5469512195121952,0.18761087660476702,0.00011898921086237981,0.23708202288700983
Neural Network,Random Sampling,1.0,4,6559,0.5432926829268293,0.1773928893327603,0.00011990620539738581,0.2216809896322397
Neural Network,Entropy Sampling,0.2,0,1311,0.49146341463414633,0.18384953603178758,0.002631982167561849,0.11906393369038899
Neural Network,Entropy Sampling,0.2,1,1311,0.42560975609756097,0.1444751437866203,0.0025561650594075522,0.11641295750935872
Neural Network,Entropy Sampling,0.2,2,1311,0.5042682926829268,0.15928946475158728,0.0026082992553710938,0.11585084597269694
Neural Network,Entropy Sampling,0.2,3,1311,0.4871951219512195,0.19705996163817413,0.0025219122568766275,0.11585744222005208
Neural Network,Entropy Sampling,0.2,4,1311,0.5134146341463415,0.17831258338407438,0.002505779266357422,0.12081821759541829
Neural Network,Entropy Sampling,0.4,0,2623,0.5310975609756098,0.18787298424552532,0.0022111336390177407,0.13010148207346597
Neural Network,Entropy Sampling,0.4,1,2623,0.5219512195121951,0.16580106953059875,0.0022403796513875327,0.13677501678466797
Neural Network,Entropy Sampling,0.4,2,2623,0.5280487804878049,0.17189921522469892,0.0025630791982014975,0.13876585165659586
Neural Network,Entropy Sampling,0.4,3,2623,0.5365853658536586,0.18165109988551778,0.002267916997273763,0.13775845368703207
Neural Network,Entropy Sampling,0.4,4,2623,0.5463414634146342,0.18808516736997408,0.0021970272064208984,0.13374479611714682
Neural Network,Entropy Sampling,0.6,0,3935,0.5481707317073171,0.18880907220242735,0.002055734395980835,0.15025931596755981
Neural Network,Entropy Sampling,0.6,1,3935,0.5286585365853659,0.1695490930864368,0.0020967721939086914,0.15933644771575928
Neural Network,Entropy Sampling,0.6,2,3935,0.5390243902439025,0.19164019176133357,0.0023501217365264893,0.15298491716384888
Neural Network,Entropy Sampling,0.6,3,3935,0.5371951219512195,0.1766898647255667,0.002104461193084717,0.16231822967529297
Neural Network,Entropy Sampling,0.6,4,3935,0.5414634146341464,0.18432866981886586,0.002255737781524658,0.16036739945411682
Neural Network,Entropy Sampling,0.8,0,5247,0.5469512195121952,0.19788907506931222,0.001964612440629439,0.19584718617525967
Neural Network,Entropy Sampling,0.8,1,5247,0.5481707317073171,0.1962403386723683,0.002277894453568892,0.1958009979941628
Neural Network,Entropy Sampling,0.8,2,5247,0.5493902439024391,0.19387281291157,0.0018495429645885122,0.19560230862010608
Neural Network,Entropy Sampling,0.8,3,5247,0.5481707317073171,0.19883449152058666,0.0018808408216996627,0.19438797777349298
Neural Network,Entropy Sampling,0.8,4,5247,0.5542682926829269,0.19952721206239435,0.0022178129716352983,0.19752578301863236
Neural Network,Entropy Sampling,1.0,0,6559,0.5579268292682927,0.19251216171212615,0.001613928721501277,0.21904360331021822
Neural Network,Entropy Sampling,1.0,1,6559,0.551829268292683,0.18308888432045534,0.0016425022712120642,0.2173475852379432
Neural Network,Entropy Sampling,1.0,2,6559,0.5390243902439025,0.15999711589738522,0.00159454345703125,0.22601782358609712
Neural Network,Entropy Sampling,1.0,3,6559,0.5402439024390244,0.18893421059155618,0.0016193573291485126,0.2231756173647367
Neural Network,Entropy Sampling,1.0,4,6559,0.5384146341463415,0.1792424984498306,0.0015994952275202824,0.2203819568340595
Neural Network,Margin Sampling,0.2,0,1311,0.46646341463414637,0.17436917165602817,0.00257722536722819,0.11840224266052246
Neural Network,Margin Sampling,0.2,1,1311,0.5146341463414634,0.19522693045886172,0.002591371536254883,0.11700201034545898
