classifier,strategy,target_performance,target_f1_score,avg_labels_needed,std_labels_needed,savings_pct,relative_savings_pct,random_100_f1
Random Forest,Entropy Sampling,98,0.22687466664600794,3466.88,2429.834765081774,47.143162067388324,-16.0065851993629,0.23150476188368158
Random Forest,Margin Sampling,98,0.22687466664600794,3150.16,2217.883543921998,51.97194694313158,-5.408697281597576,0.23150476188368158
Random Forest,Least Confidence,98,0.22687466664600794,3548.52,2304.113818716428,45.898460131117545,-18.738372170840417,0.23150476188368158
SVM,Random Sampling,90,0.15968873692536753,1676.72,1517.0525770717375,74.43634700411647,0.0,0.17743192991707504
SVM,Entropy Sampling,90,0.15968873692536753,1756.72,1524.0647366827957,73.21664887940234,-4.771220000954244,0.17743192991707504
SVM,Margin Sampling,90,0.15968873692536753,1756.72,1550.0881657505806,73.21664887940234,-4.771220000954244,0.17743192991707504
SVM,Least Confidence,90,0.15968873692536753,1696.72,1451.8883295901237,74.13142247293794,-1.192805000238561,0.17743192991707504
SVM,Random Sampling,95,0.1685603334212213,2453.44,1826.5566310410416,62.59429791126695,0.0,0.17743192991707504
SVM,Entropy Sampling,95,0.1685603334212213,2871.8,2112.0750365458134,56.2158865680744,-17.051976001043435,0.17743192991707504
SVM,Margin Sampling,95,0.1685603334212213,2613.44,1810.4166168039885,60.154901661838686,-6.52145558888744,0.17743192991707504
SVM,Least Confidence,95,0.1685603334212213,2453.44,1901.6595716373631,62.59429791126695,0.0,0.17743192991707504
SVM,Random Sampling,98,0.17388329131873353,3270.16,1947.451928649331,50.14239975606037,0.0,0.17743192991707504
SVM,Entropy Sampling,98,0.17388329131873353,3866.88,2017.5710608551067,41.044671443817656,-18.247425202436588,0.17743192991707504
SVM,Margin Sampling,98,0.17388329131873353,2773.44,1734.2743515372645,57.71550541241043,15.189470851579124,0.17743192991707504
SVM,Least Confidence,98,0.17388329131873353,2831.8,2020.149737024461,56.82573563043146,13.40484869241871,0.17743192991707504
