classifier,budget_pct,strategy,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
Naive Bayes,0.6,Entropy Sampling,0.0271215501092524,0.0033754634147304535,0.052044125881003614,0.01852855973025158,0.024922575771751214,91.89215096982596,14.0,0.0625,0.68,groß,5,1.0,False
Naive Bayes,0.6,Margin Sampling,0.0271215501092524,0.0033754634147304535,0.054566127065587944,0.008610294421622457,0.027444576956335544,101.19103386709799,15.0,0.03125,1.0,groß,5,1.0,False
Naive Bayes,0.6,Least Confidence,0.0271215501092524,0.0033754634147304535,0.05536470047582533,0.006780837152821695,0.028243150366572933,104.13545779206,15.0,0.03125,1.0,groß,5,1.0,False
Naive Bayes,0.8,Entropy Sampling,0.026897805748742086,0.0024329836789194485,0.04615292862485211,0.010150708583740781,0.019255122876110024,71.58622177576889,15.0,0.03125,1.0,groß,5,1.0,False
Naive Bayes,0.8,Margin Sampling,0.026897805748742086,0.0024329836789194485,0.054733324633434034,0.010935502006174219,0.027835518884691948,103.48620681073109,15.0,0.03125,1.0,groß,5,1.0,False
Naive Bayes,0.8,Least Confidence,0.026897805748742086,0.0024329836789194485,0.04992920570959631,0.011562243713391963,0.023031399960854224,85.6255717510761,15.0,0.03125,1.0,groß,5,1.0,False
Naive Bayes,1.0,Entropy Sampling,0.028906239510391823,0.0,0.028906239510391823,0.0,0.0,0.0,0.0,1.0,0.0,vernachlässigbar,5,1.0,False
Naive Bayes,1.0,Margin Sampling,0.028906239510391823,0.0,0.028906239510391823,0.0,0.0,0.0,0.0,1.0,0.0,vernachlässigbar,5,1.0,False
Naive Bayes,1.0,Least Confidence,0.028906239510391823,0.0,0.028906239510391823,0.0,0.0,0.0,0.0,1.0,0.0,vernachlässigbar,5,1.0,False
Random Forest,0.2,Entropy Sampling,0.22386644796189467,0.012217245936575735,0.22666225891211694,0.016650254328594613,0.0027958109502222717,1.248874485513863,8.0,0.5,-0.12,vernachlässigbar,5,1.0,False
Random Forest,0.2,Margin Sampling,0.22386644796189467,0.012217245936575735,0.22299498723236763,0.012980123143352732,-0.0008714607295270405,-0.38927706115003696,7.0,0.59375,0.04,vernachlässigbar,5,1.0,False
Random Forest,0.2,Least Confidence,0.22386644796189467,0.012217245936575735,0.22124568417755142,0.011829750803330917,-0.002620763784343255,-1.170681809714222,6.0,0.6875,-0.2,klein,5,1.0,False
Random Forest,0.4,Entropy Sampling,0.22300876063614541,0.013719265737395207,0.22517336734653132,0.009815283277095889,0.0021646067103859024,0.9706375230332819,9.0,0.40625,0.04,vernachlässigbar,5,1.0,False
Random Forest,0.4,Margin Sampling,0.22300876063614541,0.013719265737395207,0.22927343304928077,0.007221942698807629,0.006264672413135358,2.809159781555225,9.0,0.40625,0.28,klein,5,1.0,False
Random Forest,0.4,Least Confidence,0.22300876063614541,0.013719265737395207,0.2303956601055162,0.01660914986936117,0.0073868994693707946,3.3123808447252183,9.0,0.40625,0.28,klein,5,1.0,False
