classifier,budget_pct,strategy,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
Logistic Regression,0.2,Least Confidence,0.18166913984983332,0.005027279487729443,0.18451682429781696,0.012519164421147179,0.0028476844479836394,1.5675113837922714,9.0,0.40625,0.04,negligible,5,1.0,False
Logistic Regression,0.4,Entropy Sampling,0.18592050079390313,0.0053920358064273085,0.1842308600042376,0.008455142911895744,-0.0016896407896655197,-0.9087974604470987,6.0,0.6875,-0.2,small,5,1.0,False
Logistic Regression,0.4,Margin Sampling,0.18592050079390313,0.0053920358064273085,0.18800698092505091,0.004906926344467593,0.0020864801311477887,1.1222431750335575,10.0,0.3125,0.36,medium,5,1.0,False
Logistic Regression,0.4,Least Confidence,0.18592050079390313,0.0053920358064273085,0.1859991568945119,0.005405021764530864,7.865610060878159e-05,0.04230630848825734,8.0,0.5,0.04,negligible,5,1.0,False
Logistic Regression,0.6,Entropy Sampling,0.18808317942323335,0.0042256251856913505,0.1812008783571595,0.0067430540965899375,-0.006882301066073848,-3.6591794583538917,3.0,0.90625,-0.6,large,5,1.0,False
Logistic Regression,0.6,Margin Sampling,0.18808317942323335,0.0042256251856913505,0.1835955511838464,0.002942321962050809,-0.004487628239386948,-2.3859806353489392,3.0,0.90625,-0.44,medium,5,1.0,False
Logistic Regression,0.6,Least Confidence,0.18808317942323335,0.0042256251856913505,0.18981003166804103,0.005562372603727014,0.001726852244807675,0.9181322062414914,7.0,0.59375,0.12,negligible,5,1.0,False
Logistic Regression,0.8,Entropy Sampling,0.18757971852014005,0.0032015631771970567,0.19447106987159404,0.0061962346964632665,0.006891351351453995,3.6738254038450777,13.0,0.09375,0.68,large,5,1.0,False
Logistic Regression,0.8,Margin Sampling,0.18757971852014005,0.0032015631771970567,0.1884788003413953,0.0044108144148365365,0.0008990818212552543,0.479306520101597,8.0,0.5,0.2,small,5,1.0,False
Logistic Regression,0.8,Least Confidence,0.18757971852014005,0.0032015631771970567,0.19257716835808958,0.007880216054881128,0.00499744983794953,2.664173865583962,12.0,0.15625,0.36,medium,5,1.0,False
Logistic Regression,1.0,Entropy Sampling,0.18826070977387632,0.0,0.18826070977387632,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
Logistic Regression,1.0,Margin Sampling,0.18826070977387632,0.0,0.18826070977387632,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
Logistic Regression,1.0,Least Confidence,0.18826070977387632,0.0,0.18826070977387632,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
SVM,0.2,Entropy Sampling,0.1629241190302594,0.010541679824615088,0.16046634887979078,0.01464758717393223,-0.0024577701504686356,-1.5085367133470038,8.0,0.5,-0.04,negligible,5,1.0,False
SVM,0.2,Margin Sampling,0.1629241190302594,0.010541679824615088,0.1594933881658236,0.019080656625509375,-0.0034307308644358214,-2.1057231334782553,8.0,0.5,-0.12,negligible,5,1.0,False
SVM,0.2,Least Confidence,0.1629241190302594,0.010541679824615088,0.1630958796329532,0.016378390505533105,0.0001717606026937768,0.10542368049378632,9.0,0.40625,-0.12,negligible,5,1.0,False
SVM,0.4,Entropy Sampling,0.17991550316240063,0.0036708854939055463,0.17416818917928872,0.008873054632088817,-0.005747313983111901,-3.1944517743554828,3.0,0.90625,-0.44,medium,5,1.0,False
SVM,0.4,Margin Sampling,0.17991550316240063,0.0036708854939055463,0.17055907561077296,0.008343606584929338,-0.00935642755162766,-5.2004565405250744,0.0,1.0,-0.76,large,5,1.0,False
SVM,0.4,Least Confidence,0.17991550316240063,0.0036708854939055463,0.1677478750290456,0.00827084248004336,-0.012167628133355035,-6.7629681264165065,0.0,1.0,-0.84,large,5,1.0,False
SVM,0.6,Entropy Sampling,0.18258342919789294,0.005202972480431429,0.18121400909575364,0.006573998690150626,-0.001369420102139307,-0.7500243084245405,6.0,0.6875,-0.04,negligible,5,1.0,False
SVM,0.6,Margin Sampling,0.18258342919789294,0.005202972480431429,0.17574050718807105,0.009260669324400929,-0.006842922009821895,-3.7478329988014396,3.0,0.90625,-0.44,medium,5,1.0,False
SVM,0.6,Least Confidence,0.18258342919789294,0.005202972480431429,0.17943122717685328,0.003833582446340059,-0.003152202021039663,-1.7264447463209547,4.0,0.84375,-0.28,small,5,1.0,False
SVM,0.8,Entropy Sampling,0.18262882331928992,0.004570299916843953,0.18083302919914673,0.004271232645327462,-0.0017957941201431904,-0.9833026832810525,7.0,0.59375,-0.12,negligible,5,1.0,False
SVM,0.8,Margin Sampling,0.18262882331928992,0.004570299916843953,0.17628411475554112,0.006753109121384913,-0.006344708563748802,-3.474100335551278,2.0,0.9375,-0.52,large,5,1.0,False
SVM,0.8,Least Confidence,0.18262882331928992,0.004570299916843953,0.17908930577351836,0.003487446851256759,-0.003539517545771559,-1.9380936050731823,4.0,0.84375,-0.36,medium,5,1.0,False
SVM,1.0,Entropy Sampling,0.17743192991707504,0.0,0.17743192991707504,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
SVM,1.0,Margin Sampling,0.17743192991707504,0.0,0.17743192991707504,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
SVM,1.0,Least Confidence,0.17743192991707504,0.0,0.17743192991707504,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
