classifier,strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
Neural Network,Least Confidence,0.6,2,3935,0.5451219512195122,0.18923619502078148,0.013892561197280884,1.0484595000743866
Neural Network,Least Confidence,0.6,3,3935,0.5536585365853659,0.19905770743423482,0.013559579849243164,1.063558042049408
Neural Network,Least Confidence,0.6,4,3935,0.5481707317073171,0.19338665795586188,0.013943374156951904,1.0547595918178558
Neural Network,Least Confidence,0.8,0,5247,0.551219512195122,0.19403035674221328,0.011618050661954012,1.3728456930680708
Neural Network,Least Confidence,0.8,1,5247,0.5493902439024391,0.19151906441213265,0.012565309351140802,1.375925519249656
Neural Network,Least Confidence,0.8,2,5247,0.5481707317073171,0.19096126224104437,0.01116137071089311,1.3525628393346614
Neural Network,Least Confidence,0.8,3,5247,0.5560975609756098,0.1999178507610642,0.011503566395152699,1.377701455896551
Neural Network,Least Confidence,0.8,4,5247,0.5487804878048781,0.19519450278141506,0.011095307090065697,1.3813453370874578
Neural Network,Least Confidence,1.0,0,6559,0.5396341463414634,0.1814759550770279,0.010459533104529748,1.6441858548384447
Neural Network,Least Confidence,1.0,1,6559,0.5463414634146342,0.19741938780914164,0.010431454731867863,1.6007665304037242
Neural Network,Least Confidence,1.0,2,6559,0.5487804878048781,0.20002187572033436,0.009302744498619666,1.5217476257911096
Neural Network,Least Confidence,1.0,3,6559,0.5384146341463415,0.16311222105141898,0.009790677290696364,1.525370561159574
Neural Network,Least Confidence,1.0,4,6559,0.5536585365853659,0.19197734885080783,0.010532379150390625,1.5696579126211314
Naive Bayes,Random Sampling,0.2,0,1311,0.06402439024390244,0.06397680658369592,0.0005348523457845052,0.0030150413513183594
Naive Bayes,Random Sampling,0.2,1,1311,0.06585365853658537,0.06261132907959649,0.00043463706970214844,0.002233266830444336
Naive Bayes,Random Sampling,0.2,2,1311,0.056707317073170734,0.0539002780037636,0.0005241235097249349,0.0021034876505533853
Naive Bayes,Random Sampling,0.2,3,1311,0.04878048780487805,0.05809023137525615,0.0004227161407470703,0.0022379557291666665
Naive Bayes,Random Sampling,0.2,4,1311,0.05060975609756098,0.05003924020270333,0.00037932395935058594,0.0018318494160970051
Naive Bayes,Random Sampling,0.4,0,2623,0.039634146341463415,0.03472178583618188,0.00034360090891520184,0.0020559231440226236
