classifier,strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
CNN,Entropy Sampling,1.0,1,60000,0.9956,0.9955519899801658,0.6310573445648706,7.457627835393954
CNN,Entropy Sampling,1.0,2,60000,0.9958,0.9957690253560673,0.6333597928536039,7.456059311618324
CNN,Margin Sampling,0.2,0,12000,0.9947,0.9946696694369359,1.1422948940940525,1.5040216445922852
CNN,Margin Sampling,0.2,1,12000,0.9947,0.9946378235256013,1.1370620727539062,1.5039324242135752
CNN,Margin Sampling,0.2,2,12000,0.9953,0.9952563941376733,1.1359022389287534,1.5024793977322786
CNN,Margin Sampling,0.4,0,24000,0.9951,0.9950502846304128,1.0112078747850783,2.98765814050715
CNN,Margin Sampling,0.4,1,24000,0.9946,0.9945367329648317,1.011674277325894,2.9897854936883803
CNN,Margin Sampling,0.4,2,24000,0.9949,0.9948779604147069,1.0118302436585123,2.9894997972123165
CNN,Margin Sampling,0.6,0,36000,0.9957,0.9956594334958477,0.884027125130237,4.477901428518161
CNN,Margin Sampling,0.6,1,36000,0.9959,0.9958465645760132,0.8866415493924853,4.478624411032233
CNN,Margin Sampling,0.6,2,36000,0.995,0.9949383590351244,0.884899011799987,4.478547146622564
CNN,Margin Sampling,0.8,0,48000,0.9959,0.9958572857572013,0.7601615152860942,5.967611322904888
CNN,Margin Sampling,0.8,1,48000,0.995,0.9949547178673084,0.7594437323118511,5.964910820910805
CNN,Margin Sampling,0.8,2,48000,0.9959,0.9958729058035622,0.7592653073762593,5.965502139141685
CNN,Margin Sampling,1.0,0,60000,0.9956,0.9955590170123372,0.6342592379626106,7.45610465322222
CNN,Margin Sampling,1.0,1,60000,0.9958,0.9957684268789608,0.6325051564128459,7.457184098347896
CNN,Margin Sampling,1.0,2,60000,0.9955,0.9954613259894067,0.6332204201642204,7.457555941173008
CNN,Least Confidence,0.2,0,12000,0.9956,0.9955623040865753,1.1353751161824102,1.5042915551558784
CNN,Least Confidence,0.2,1,12000,0.9952,0.9951455175469814,1.1382825581923774,1.5040965287581733
CNN,Least Confidence,0.2,2,12000,0.9958,0.9957974584659883,1.1363345954729163,1.5025139891582986
CNN,Least Confidence,0.4,0,24000,0.9958,0.9957483036110941,1.0129893028989752,2.9902899518926094
CNN,Least Confidence,0.4,1,24000,0.9952,0.9951532015562797,1.0103276080273567,2.988094284179363
CNN,Least Confidence,0.4,2,24000,0.9951,0.9950561036041469,1.0147231639699732,2.9914273962061455
CNN,Least Confidence,0.6,0,36000,0.9956,0.9955508119499401,0.8853459391795414,4.480643742521044
CNN,Least Confidence,0.6,1,36000,0.9956,0.9955751261388828,0.888818405043911,4.482895619432691
CNN,Least Confidence,0.6,2,36000,0.9955,0.9954770553673686,0.8852283887460198,4.485668464445732
CNN,Least Confidence,0.8,0,48000,0.9959,0.995832352482757,0.7597242330249987,5.978503917392931
CNN,Least Confidence,0.8,1,48000,0.9961,0.9960622705429355,0.7603721166911878,5.980940999482807
CNN,Least Confidence,0.8,2,48000,0.9955,0.9954577266418045,0.759147932654933,5.983268890882793
CNN,Least Confidence,1.0,0,60000,0.9962,0.9961606427403374,0.6319329478159672,7.479501121184406
CNN,Least Confidence,1.0,1,60000,0.9955,0.9954947427200072,0.6331755433763776,7.475419733704639
CNN,Least Confidence,1.0,2,60000,0.9957,0.9956657414178445,0.632910053269202,7.469138808611061
Naive Bayes,Random Sampling,0.2,0,12000,0.5576,0.5055601118046916,0.022072107895560886,0.0141687185867973
Naive Bayes,Random Sampling,0.2,1,12000,0.54,0.48992329881139024,0.02175164222717285,0.01416853199834409
Naive Bayes,Random Sampling,0.2,2,12000,0.5815,0.5385489346085189,0.0215982665186343,0.014031617537788723
Naive Bayes,Random Sampling,0.4,0,24000,0.5435,0.4900104015284956,0.018979650862673496,0.028687740894074134
Naive Bayes,Random Sampling,0.4,1,24000,0.5456,0.4900321316263726,0.018986240346381005,0.028605866939463515
Naive Bayes,Random Sampling,0.4,2,24000,0.5903,0.5500458128167827,0.01892871045051737,0.02850014605420701
Naive Bayes,Random Sampling,0.6,0,36000,0.5494,0.4943369684941776,0.01671148353899029,0.04395400974112497
Naive Bayes,Random Sampling,0.6,1,36000,0.5422,0.49325724727522047,0.016673964513859277,0.04377866798723248
Naive Bayes,Random Sampling,0.6,2,36000,0.5728,0.529537006273504,0.016698266418886856,0.0438436723091233
Naive Bayes,Random Sampling,0.8,0,48000,0.5473,0.4985091834338899,0.014376903835095857,0.06075202791314376
Naive Bayes,Random Sampling,0.8,1,48000,0.5536,0.5075876374353957,0.01437943609137284,0.06094316181383635
Naive Bayes,Random Sampling,0.8,2,48000,0.5596,0.5141258971126994,0.01438096197027909,0.06084299087524414
Naive Bayes,Random Sampling,1.0,0,60000,0.556,0.5095007916775754,0.011877041904866194,0.07839662688119071
Naive Bayes,Random Sampling,1.0,1,60000,0.556,0.5095007916775754,0.011877514734989455,0.07850385914329722
Naive Bayes,Random Sampling,1.0,2,60000,0.556,0.5095007916775754,0.011906716002135718,0.0784682426132074
Naive Bayes,Entropy Sampling,0.2,0,12000,0.6126,0.5823892505897003,1.3682093620300293,0.013295370599497919
Naive Bayes,Entropy Sampling,0.2,1,12000,0.5992,0.5710164999399241,1.3685733546381411,0.013762339301731276
Naive Bayes,Entropy Sampling,0.2,2,12000,0.6326,0.6073742239353829,1.3696042869402014,0.013729893642923107
Naive Bayes,Entropy Sampling,0.4,0,24000,0.6328,0.6010882619183373,1.2202823364988287,0.029246599116223924
