classifier,budget_pct,strategy,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
Random Forest,0.2,Margin Sampling,0.9527666666666667,0.00020548046676560993,0.9763999999999999,0.0003559026084010565,0.023633333333333284,2.480495399363253,6.0,0.125,1.0,large,3,1.0,False
Random Forest,0.2,Least Confidence,0.9527666666666667,0.00020548046676560993,0.9747666666666667,4.714045207909798e-05,0.02200000000000002,2.3090648287443605,6.0,0.125,1.0,large,3,1.0,False
Random Forest,0.4,Entropy Sampling,0.9622666666666667,0.000612825877028326,0.9728,0.00032659863237105444,0.010533333333333283,1.094637661078005,6.0,0.125,1.0,large,3,1.0,False
Random Forest,0.4,Margin Sampling,0.9622666666666667,0.000612825877028326,0.9722,0.0003559026084010565,0.009933333333333239,1.0322848829153288,6.0,0.125,1.0,large,3,1.0,False
Random Forest,0.4,Least Confidence,0.9622666666666667,0.000612825877028326,0.9725333333333334,0.0007318166133366433,0.010266666666666646,1.0669253152279319,6.0,0.125,1.0,large,3,1.0,False
Random Forest,0.6,Entropy Sampling,0.9644333333333334,0.00020548046676565195,0.9696000000000001,0.00043204937989386116,0.005166666666666764,0.5357204576089687,6.0,0.125,1.0,large,3,1.0,False
Random Forest,0.6,Margin Sampling,0.9644333333333334,0.00020548046676565195,0.9701666666666666,0.0005734883511361592,0.005733333333333257,0.5944768948950945,6.0,0.125,1.0,large,3,1.0,False
Random Forest,0.6,Least Confidence,0.9644333333333334,0.00020548046676565195,0.9706,0.0002943920288775625,0.006166666666666654,0.639408288113917,6.0,0.125,1.0,large,3,1.0,False
Random Forest,0.8,Entropy Sampling,0.9669,0.00024494897427829084,0.9694666666666666,0.0011897712198383212,0.002566666666666606,0.265453166477051,6.0,0.125,1.0,large,3,1.0,False
Random Forest,0.8,Margin Sampling,0.9669,0.00024494897427829084,0.9695999999999999,0.0006480740698408002,0.0026999999999999247,0.27924294135897454,6.0,0.125,1.0,large,3,1.0,False
