strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
Random Sampling,1.0,3,60000,0.9281,0.9278902372573181,0.012811278094764516,7.597735400961227
Random Sampling,1.0,4,60000,0.9308,0.9304728172270549,0.012736637051365957,7.5970400922438674
Entropy Sampling,0.2,0,12000,0.9093,0.9078853537405344,1.0559823616691257,1.5336922562640647
Entropy Sampling,0.2,1,12000,0.9096,0.9085260990416014,1.0542515775431758,1.5299670177957285
Entropy Sampling,0.2,2,12000,0.9063,0.9053628417090265,1.052361654198688,1.530879538992177
Entropy Sampling,0.2,3,12000,0.909,0.9077935790077831,1.0515780967214834,1.5309191994045093
Entropy Sampling,0.2,4,12000,0.9091,0.9081163355492825,1.0522779589113982,1.5298471554465916
Entropy Sampling,0.4,0,24000,0.9263,0.9256641300017554,0.9385449480503163,3.0422726539855307
Entropy Sampling,0.4,1,24000,0.9215,0.9206530882662001,0.9381329150910073,3.0449674281668155
Entropy Sampling,0.4,2,24000,0.9229,0.922196202266696,0.9391988338308132,3.0463034802294793
Entropy Sampling,0.4,3,24000,0.9229,0.9221751094125306,0.9391752659006322,3.044037534835491
Entropy Sampling,0.4,4,24000,0.9236,0.9229134801375013,0.940601942387033,3.0428793937601943
Entropy Sampling,0.6,0,36000,0.9253,0.9246560051517955,0.8196829339148293,4.562415472218688
Entropy Sampling,0.6,1,36000,0.9257,0.9251644933731045,0.8207858750517939,4.564509717511459
Entropy Sampling,0.6,2,36000,0.9268,0.9263590056900256,0.8205708819375911,4.564144403162137
Entropy Sampling,0.6,3,36000,0.9275,0.927119573893451,0.823082940679201,4.564081349842985
Entropy Sampling,0.6,4,36000,0.9263,0.9258762296615876,0.8213545470170571,4.562399175805106
Entropy Sampling,0.8,0,48000,0.9287,0.9283628820226862,0.7039124639410722,6.083620131643195
Entropy Sampling,0.8,1,48000,0.9286,0.9282434033902163,0.703516199714259,6.083112972661069
Entropy Sampling,0.8,2,48000,0.9268,0.9264172569615605,0.7023917951081928,6.082519689359163
Entropy Sampling,0.8,3,48000,0.9265,0.9260772726589129,0.7039755896518105,6.081528181778757
Entropy Sampling,0.8,4,48000,0.9286,0.9283992123188438,0.7027058777056242,6.083057825188888
Entropy Sampling,1.0,0,60000,0.9264,0.92636911291039,0.5868480866696654,7.606978690924764
Entropy Sampling,1.0,1,60000,0.928,0.9275673901937358,0.5872548868676194,7.6051057166412095
Entropy Sampling,1.0,2,60000,0.9309,0.9305012370349395,0.5880921087345156,7.633382693058302
Entropy Sampling,1.0,3,60000,0.9273,0.9268238673373954,0.5896329799620044,7.662749338550728
