strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Margin Sampling,0.6,4,36000,0.8339,0.8326618707198042,0.14878302224924866,0.9046821292017547,cuml
Margin Sampling,0.8,0,48000,0.8355,0.834472806289301,0.12938469083685625,1.141420532527723,cuml
Margin Sampling,0.8,1,48000,0.8353,0.8342651856841317,0.12938449508265445,1.1450525334006862,cuml
Margin Sampling,0.8,2,48000,0.8345,0.8334372086057069,0.12920103073120118,1.1446687096043637,cuml
Margin Sampling,0.8,3,48000,0.8348,0.8335722673598269,0.12795009864004034,1.1442932806516948,cuml
Margin Sampling,0.8,4,48000,0.8351,0.8340048529379217,0.1299857817198101,1.1479525566101074,cuml
Margin Sampling,1.0,0,60000,0.8346,0.8335636488257627,0.10742569570781804,1.387121649349437,cuml
Margin Sampling,1.0,1,60000,0.836,0.8349251586625505,0.1087791218477137,1.3881443708884615,cuml
Margin Sampling,1.0,2,60000,0.8356,0.8345669942715173,0.10717181798790683,1.3903031749885624,cuml
Margin Sampling,1.0,3,60000,0.8351,0.8340363345939629,0.10713901840338186,1.3872234059982942,cuml
Margin Sampling,1.0,4,60000,0.8356,0.834562601987823,0.10771968785454245,1.3897191336174972,cuml
Least Confidence,0.2,0,12000,0.8227,0.8210089246986841,0.21109954170558765,0.45253376338792883,cuml
Least Confidence,0.2,1,12000,0.8281,0.8266632998989133,0.20447037530981976,0.45035434805828595,cuml
Least Confidence,0.2,2,12000,0.827,0.8252315801965583,0.2043760755787725,0.4466993705086086,cuml
Least Confidence,0.2,3,12000,0.8242,0.8219932428273656,0.20396967556165613,0.4493742714757505,cuml
Least Confidence,0.2,4,12000,0.8245,0.8227846744208301,0.20157350664553436,0.45359895540320355,cuml
Least Confidence,0.4,0,24000,0.8324,0.8309617420371012,0.17648089692947713,0.6700290974150312,cuml
Least Confidence,0.4,1,24000,0.8336,0.8322092678996293,0.17819128137953738,0.6704578095294059,cuml
Least Confidence,0.4,2,24000,0.8341,0.8327995236735235,0.18181308786919775,0.675982175989354,cuml
Least Confidence,0.4,3,24000,0.8341,0.832709427464106,0.18423394953950922,0.6732773882277469,cuml
Least Confidence,0.4,4,24000,0.8341,0.8327537651100873,0.18336494932783412,0.6765859076317321,cuml
Least Confidence,0.6,0,36000,0.8344,0.833185140603035,0.15245067233770665,0.9101212024688721,cuml
Least Confidence,0.6,1,36000,0.8336,0.832462729380232,0.15387092509739836,0.9076683722751241,cuml
Least Confidence,0.6,2,36000,0.834,0.832876909844756,0.1539668466003848,0.9104410325977165,cuml
Least Confidence,0.6,3,36000,0.8334,0.8321434921786324,0.15447705228563766,0.9096270547786229,cuml
Least Confidence,0.6,4,36000,0.8327,0.8315580788398614,0.15305829048156738,0.9125535823929478,cuml
Least Confidence,0.8,0,48000,0.8361,0.8349247748733226,0.13154417590091103,1.152339536265323,cuml
Least Confidence,0.8,1,48000,0.8345,0.8334035403105509,0.1326821251919395,1.1508659061632658,cuml
Least Confidence,0.8,2,48000,0.835,0.8339200378036171,0.1353534271842555,1.1503655308171323,cuml
Least Confidence,0.8,3,48000,0.8356,0.8344806106465276,0.13360443115234374,1.1543027300583688,cuml
Least Confidence,0.8,4,48000,0.8357,0.8345493800548726,0.13462627059534976,1.1502101346066123,cuml
Least Confidence,1.0,0,60000,0.8352,0.8342142062135001,0.1116027271046358,1.3962539003676726,cuml
Least Confidence,1.0,1,60000,0.8359,0.8348088869897896,0.1116519134585597,1.3970038049361284,cuml
Least Confidence,1.0,2,60000,0.8343,0.8332583109149103,0.11337215359471425,1.3983114807545638,cuml
Least Confidence,1.0,3,60000,0.8355,0.8345041050799686,0.1126369568480163,1.3951245035443987,cuml
Least Confidence,1.0,4,60000,0.8349,0.833868907459396,0.11256157450315331,1.4004654924408728,cuml
