strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Margin Sampling,0.6,1,36000,0.834,0.8311145780672057,0.06919698983850614,0.23678173481578557,cuml
Margin Sampling,0.6,2,36000,0.8356,0.8323447673775768,0.06898091208766884,0.2371984300479083,cuml
Margin Sampling,0.6,3,36000,0.8346,0.8309122226291448,0.0690536230382785,0.23606092829099842,cuml
Margin Sampling,0.6,4,36000,0.8337,0.8300826461880435,0.06899880019711777,0.2356358246064522,cuml
Margin Sampling,0.8,0,48000,0.8263,0.8229608318141756,0.058971595764160153,0.2594154935134085,cuml
Margin Sampling,0.8,1,48000,0.8244,0.820617023308843,0.058981039649561834,0.2599732800533897,cuml
Margin Sampling,0.8,2,48000,0.8242,0.8204409929228749,0.05901714375144557,0.2585349484493858,cuml
Margin Sampling,0.8,3,48000,0.8269,0.8231394656913981,0.05902424360576429,0.2574637413024902,cuml
Margin Sampling,0.8,4,48000,0.8254,0.8216408274357974,0.05886109000758121,0.25845547475312886,cuml
Margin Sampling,1.0,0,60000,0.82,0.8153894994213029,0.04916764507774545,0.280901922899134,cuml
Margin Sampling,1.0,1,60000,0.8195,0.8155999102256033,0.04902256436708594,0.2830222774954403,cuml
Margin Sampling,1.0,2,60000,0.8207,0.816400170333744,0.0491481949301327,0.2842962000550342,cuml
Margin Sampling,1.0,3,60000,0.8207,0.8164621815530907,0.0497769968850272,0.28452602354418327,cuml
Margin Sampling,1.0,4,60000,0.8213,0.8167844600343015,0.05009378305002421,0.28594153067644906,cuml
Least Confidence,0.2,0,12000,0.8471,0.8463969314254103,0.10787076535432236,0.18654262501260507,cuml
Least Confidence,0.2,1,12000,0.845,0.8450711693137487,0.10620011454043181,0.18767170284105383,cuml
Least Confidence,0.2,2,12000,0.8469,0.8468027963611974,0.10823797143023947,0.187047585197117,cuml
Least Confidence,0.2,3,12000,0.8502,0.8497413224952546,0.10722383208896803,0.19175781374392303,cuml
Least Confidence,0.2,4,12000,0.8447,0.8447820784579738,0.10628243114637292,0.18775747133337933,cuml
Least Confidence,0.4,0,24000,0.85,0.8486962002498348,0.09080367392682015,0.21343215475691127,cuml
Least Confidence,0.4,1,24000,0.8481,0.846519941576107,0.09111833065114122,0.2137342006602186,cuml
Least Confidence,0.4,2,24000,0.8491,0.8480311297585406,0.09261695882107349,0.2151572197041613,cuml
Least Confidence,0.4,3,24000,0.8504,0.8489114765905461,0.09180633057939246,0.21353185430486152,cuml
Least Confidence,0.4,4,24000,0.8516,0.8504924884507611,0.09208937908740754,0.21470122641705452,cuml
Least Confidence,0.6,0,36000,0.8336,0.830348457059328,0.07190552563734458,0.24190395986530142,cuml
Least Confidence,0.6,1,36000,0.8328,0.8296621111403588,0.07219541912347498,0.24170674068827025,cuml
Least Confidence,0.6,2,36000,0.8325,0.8286613608975744,0.07193747708495234,0.24122898007782412,cuml
Least Confidence,0.6,3,36000,0.834,0.8308051948012336,0.07243098339564363,0.24197592869610854,cuml
Least Confidence,0.6,4,36000,0.8332,0.8298759711524113,0.0719015296076385,0.2411261108559622,cuml
Least Confidence,0.8,0,48000,0.8255,0.8218235683378561,0.06151964538975766,0.2626777548539011,cuml
Least Confidence,0.8,1,48000,0.824,0.8202422682258591,0.06067671775817871,0.2648821981329667,cuml
Least Confidence,0.8,2,48000,0.8259,0.8221063464781558,0.06193269428453947,0.2650626759780081,cuml
Least Confidence,0.8,3,48000,0.8249,0.821019467662825,0.06178103246186909,0.26200434785140186,cuml
Least Confidence,0.8,4,48000,0.8255,0.8216058142424737,0.06260473100762619,0.2670424737428364,cuml
Least Confidence,1.0,0,60000,0.8222,0.8179662601579472,0.0526704567821086,0.2921141736647662,cuml
Least Confidence,1.0,1,60000,0.8188,0.814218697830643,0.05278000110337714,0.2866164495965012,cuml
Least Confidence,1.0,2,60000,0.8195,0.8151489553010889,0.05117756178399094,0.28843373410842,cuml
Least Confidence,1.0,3,60000,0.8194,0.8153053040946927,0.051988379294130985,0.2872244510330072,cuml
Least Confidence,1.0,4,60000,0.8192,0.8147469538572837,0.054543745617906585,0.2894413691608846,cuml
