strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Margin Sampling,0.4,2,24000,0.9683,0.9680418523411103,50.03788173452337,10.32150549076973,cuml
Margin Sampling,0.4,3,24000,0.9679,0.9676242161228362,50.09575639887059,10.329345814725185,cuml
Margin Sampling,0.4,4,24000,0.9675,0.9672638834548313,50.14912186277674,10.332762276872675,cuml
Margin Sampling,0.6,0,36000,0.9676,0.9673682028348795,44.38326694260181,12.827376446253817,cuml
Margin Sampling,0.6,1,36000,0.9675,0.9672779827824218,44.59537592404325,12.864982484092176,cuml
Margin Sampling,0.6,2,36000,0.9677,0.96748762565109,44.364768777095094,12.80532054498162,cuml
Margin Sampling,0.6,3,36000,0.9668,0.9665521586513215,44.46374556716059,12.84008251781195,cuml
Margin Sampling,0.6,4,36000,0.9668,0.9665895277796099,44.48799784754364,12.854899537395424,cuml
Margin Sampling,0.8,0,48000,0.9672,0.9669879699049421,38.439616348868924,15.402328704532824,cuml
Margin Sampling,0.8,1,48000,0.9664,0.9661947592599327,38.528364685962075,15.407494941510652,cuml
Margin Sampling,0.8,2,48000,0.9672,0.966993190995237,38.66899660261054,15.381692775927092,cuml
Margin Sampling,0.8,3,48000,0.9664,0.9661835758047994,38.450142328362716,15.416079593959607,cuml
Margin Sampling,0.8,4,48000,0.9666,0.9663803491287453,38.56538708837409,15.373221394890233,cuml
Margin Sampling,1.0,0,60000,0.9671,0.9668419990967483,32.15186381139675,20.193536075223395,cuml
Margin Sampling,1.0,1,60000,0.9671,0.966834452706596,32.16018543323549,20.149772704148493,cuml
Margin Sampling,1.0,2,60000,0.9673,0.9670503667272199,32.19916693503115,20.148033071966733,cuml
Margin Sampling,1.0,3,60000,0.9673,0.967044737144944,32.17040900623097,20.14509598748023,cuml
Margin Sampling,1.0,4,60000,0.9672,0.9669701702494097,32.322647509454676,20.214012849230727,cuml
Least Confidence,0.2,0,12000,0.9675,0.9672047803592576,55.00494383729023,7.58528877341229,cuml
Least Confidence,0.2,1,12000,0.9674,0.9670848867296623,55.036603440409124,7.590614754220714,cuml
Least Confidence,0.2,2,12000,0.9665,0.9661783833836847,54.961798305096835,7.5913334411123525,cuml
Least Confidence,0.2,3,12000,0.9683,0.9679257370144858,55.06220255727353,7.596243806507276,cuml
Least Confidence,0.2,4,12000,0.9688,0.9684933724286818,54.938708782196045,7.597470698149308,cuml
Least Confidence,0.4,0,24000,0.9676,0.9673339486649539,50.17925118892751,10.347835672662614,cuml
Least Confidence,0.4,1,24000,0.968,0.9677552248148944,50.26100957647283,10.350032070849805,cuml
Least Confidence,0.4,2,24000,0.9675,0.9672624467735529,50.214951119524365,10.334064361896921,cuml
Least Confidence,0.4,3,24000,0.9693,0.9690513367692548,50.30509952281384,10.350987429314472,cuml
Least Confidence,0.4,4,24000,0.9675,0.9671977612223828,50.08513548526358,10.339983148777739,cuml
Least Confidence,0.6,0,36000,0.9668,0.9665667708051113,44.61998615802174,12.88123726173186,cuml
Least Confidence,0.6,1,36000,0.967,0.9667490961619258,44.57251504441382,12.87473015718057,cuml
Least Confidence,0.6,2,36000,0.967,0.9667601451395955,44.60681979085358,12.860476725538012,cuml
Least Confidence,0.6,3,36000,0.9672,0.9669355646192523,44.61777385859422,12.876279404465581,cuml
Least Confidence,0.6,4,36000,0.9659,0.9656258404970843,44.640102399906645,12.894064087263295,cuml
Least Confidence,0.8,0,48000,0.9664,0.9661720956397891,38.57301825975117,15.389135722110145,cuml
Least Confidence,0.8,1,48000,0.9654,0.9651854505582712,38.4737587276258,15.402838310442473,cuml
Least Confidence,0.8,2,48000,0.9659,0.9656904343516463,38.43667571419164,15.37648310410349,cuml
Least Confidence,0.8,3,48000,0.9663,0.9661022376432298,38.564200760188854,15.426202427713495,cuml
Least Confidence,0.8,4,48000,0.9667,0.9664708906938163,38.69366341390108,15.412211970279092,cuml
Least Confidence,1.0,0,60000,0.9663,0.9660345645693486,32.1855893275317,20.23924279613655,cuml
Least Confidence,1.0,1,60000,0.9665,0.9662609484926602,32.23340975136316,20.17635853551015,cuml
Least Confidence,1.0,2,60000,0.9669,0.9666497800489546,32.27422509273561,20.313074137984202,cuml
Least Confidence,1.0,3,60000,0.9671,0.9668566673951757,32.120215173528976,20.231312026496695,cuml
Least Confidence,1.0,4,60000,0.9663,0.9660549701654257,32.206380557613215,20.15045025969754,cuml
