strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
Margin Sampling,0.4,2,24000,0.996,0.9959553515499817,1.0152402837225731,3.130596384089044
Margin Sampling,0.4,3,24000,0.9955,0.9954800327847169,1.015314518137181,3.1316180939370013
Margin Sampling,0.4,4,24000,0.9951,0.9950567460514737,1.0147477261563564,3.13191364673858
Margin Sampling,0.6,0,36000,0.9957,0.9956454358007321,0.889242131945113,4.6911021454233515
Margin Sampling,0.6,1,36000,0.9948,0.9947553182630978,0.8893824866120245,4.693634258189672
Margin Sampling,0.6,2,36000,0.9954,0.9953664352073313,0.8885201333274304,4.691859168066105
Margin Sampling,0.6,3,36000,0.995,0.9949606373040787,0.8898458044293901,4.690554702785653
Margin Sampling,0.6,4,36000,0.9943,0.9942640252375033,0.8898675777542759,4.6893980100121295
Margin Sampling,0.8,0,48000,0.9958,0.99576600535921,0.7600073939875552,6.25116824099892
Margin Sampling,0.8,1,48000,0.9942,0.9941551935758092,0.7609784502732126,6.252322415301674
Margin Sampling,0.8,2,48000,0.9956,0.995595340579273,0.7611712029105738,6.250222974074514
Margin Sampling,0.8,3,48000,0.9963,0.9962820715845468,0.7609129127703215,6.250616221678884
Margin Sampling,0.8,4,48000,0.996,0.9959707547561629,0.7609030497701544,6.251265011335674
Margin Sampling,1.0,0,60000,0.995,0.9949608867744125,0.6340475282749208,7.811847095729924
Margin Sampling,1.0,1,60000,0.9953,0.9952725550027461,0.6331881174520284,7.815578160165739
Margin Sampling,1.0,2,60000,0.9954,0.9953689554769307,0.6330480014576632,7.811882031064074
Margin Sampling,1.0,3,60000,0.9954,0.9953580533740085,0.6332973372034666,7.8153559680746385
Margin Sampling,1.0,4,60000,0.9956,0.9955599981017086,0.6338420615476721,7.818596036494279
Least Confidence,0.2,0,12000,0.9948,0.9947289176806701,1.1434449112933616,1.5751604722893757
Least Confidence,0.2,1,12000,0.9945,0.9944603523406531,1.1446349620819092,1.5751182514688242
Least Confidence,0.2,2,12000,0.9937,0.993644471853503,1.1441616908363674,1.5768983882406484
Least Confidence,0.2,3,12000,0.994,0.993935274909233,1.1413327611011008,1.5745848883753237
Least Confidence,0.2,4,12000,0.994,0.9939335549379915,1.1414435220801311,1.5771766019904094
Least Confidence,0.4,0,24000,0.995,0.9949547542877302,1.0147875775682165,3.1335660599647683
Least Confidence,0.4,1,24000,0.9948,0.9947459401900801,1.0131753048998244,3.135296994067253
Least Confidence,0.4,2,24000,0.9956,0.9955504141312647,1.0156851423547624,3.134831037927181
Least Confidence,0.4,3,24000,0.9956,0.9955455337037404,1.0133061003177724,3.135941114831478
Least Confidence,0.4,4,24000,0.9954,0.995364667878956,1.0153594017028809,3.135898290796483
Least Confidence,0.6,0,36000,0.9953,0.9952554651138138,0.8879807633413396,4.701802354463389
Least Confidence,0.6,1,36000,0.9948,0.9947802552292891,0.8897561388955989,4.690699594121583
Least Confidence,0.6,2,36000,0.9947,0.9946416732037987,0.889034069759745,4.658772394690715
Least Confidence,0.6,3,36000,0.9954,0.9953986445690607,0.8860409394116469,4.655622804668588
Least Confidence,0.6,4,36000,0.9945,0.9944545770882633,0.8871841061283166,4.673454983133666
Least Confidence,0.8,0,48000,0.9958,0.9957729090522989,0.7601352566166928,6.232144503844411
Least Confidence,0.8,1,48000,0.9955,0.9954855553381078,0.7600659119455437,6.239206316596583
Least Confidence,0.8,2,48000,0.9957,0.9956841037318576,0.7595507019444516,6.242821083570782
Least Confidence,0.8,3,48000,0.9957,0.9956678053810014,0.7614352703094482,6.243729395615427
Least Confidence,0.8,4,48000,0.9953,0.995272184148369,0.7604659733019377,6.248158133657355
Least Confidence,1.0,0,60000,0.9951,0.9950692987711285,0.6334390960821584,7.803194468762694
Least Confidence,1.0,1,60000,0.9956,0.9955727504554444,0.6322290676982463,7.794419334716156
Least Confidence,1.0,2,60000,0.9961,0.9960644463428505,0.6342534257584259,7.7884168003787515
Least Confidence,1.0,3,60000,0.9955,0.9954511806154089,0.6328879424503872,7.78956742847667
Least Confidence,1.0,4,60000,0.9955,0.9954695871777863,0.6323033941894018,7.778446287668052
