strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Margin Sampling,0.4,0,24000,0.9483,0.94798513391858,0.08791774384518887,0.21075774253682888,cuml
Margin Sampling,0.4,1,24000,0.9478,0.9474473933798631,0.08735740945694294,0.20987056671304904,cuml
Margin Sampling,0.4,2,24000,0.9502,0.9499667133060642,0.08802937446756566,0.21103178693893107,cuml
Margin Sampling,0.4,3,24000,0.9484,0.9480779032299713,0.0882931262888807,0.21204608044725784,cuml
Margin Sampling,0.4,4,24000,0.9492,0.9489344099951975,0.0884004349404193,0.2106235534586805,cuml
Margin Sampling,0.6,0,36000,0.9384,0.938098788388446,0.0688562829729537,0.23425223457981165,cuml
Margin Sampling,0.6,1,36000,0.9372,0.9367789693857735,0.06860975144614637,0.23177720795215015,cuml
Margin Sampling,0.6,2,36000,0.9353,0.9349828018856503,0.06900107021063147,0.2339106344840896,cuml
Margin Sampling,0.6,3,36000,0.9363,0.9359188398425411,0.06932716638269559,0.2310046478056572,cuml
Margin Sampling,0.6,4,36000,0.9383,0.9378660691831969,0.06983655607196647,0.23220950449016733,cuml
Margin Sampling,0.8,0,48000,0.9299,0.9293822716289515,0.05875158811870374,0.25331510493629855,cuml
Margin Sampling,0.8,1,48000,0.929,0.9285002779551874,0.058966074491802016,0.25248254976774515,cuml
Margin Sampling,0.8,2,48000,0.9302,0.9296284722207322,0.058868287739000824,0.25341883458589254,cuml
Margin Sampling,0.8,3,48000,0.9318,0.9313314547287203,0.05942723374617727,0.25320596945913215,cuml
Margin Sampling,0.8,4,48000,0.9299,0.9294119200502073,0.05918756033244886,0.2539187657205682,cuml
Margin Sampling,1.0,0,60000,0.9272,0.9265112551069195,0.048987651071628606,0.2752907476505312,cuml
Margin Sampling,1.0,1,60000,0.9269,0.9262043136801905,0.048792025622199565,0.27474935114884574,cuml
Margin Sampling,1.0,2,60000,0.9282,0.9275178961739957,0.049019228510496,0.27495033200047597,cuml
Margin Sampling,1.0,3,60000,0.9269,0.9261423923716446,0.049018120565334285,0.27467520297074516,cuml
Margin Sampling,1.0,4,60000,0.9282,0.9275391152689417,0.049215198564930125,0.27408509094174166,cuml
Least Confidence,0.2,0,12000,0.9565,0.9561690905253732,0.10370522996653682,0.18553001984306003,cuml
Least Confidence,0.2,1,12000,0.9548,0.9543839887057809,0.10366382806197456,0.18713722021683402,cuml
Least Confidence,0.2,2,12000,0.9568,0.9564030435938522,0.10396543793056322,0.18681844421055005,cuml
Least Confidence,0.2,3,12000,0.956,0.9557289142357117,0.10449018685714058,0.1865906404412311,cuml
Least Confidence,0.2,4,12000,0.9588,0.9584802451838474,0.10407147200211235,0.18448277141736902,cuml
Least Confidence,0.4,0,24000,0.9487,0.9483843060903092,0.08830069481058324,0.21038591100814494,cuml
Least Confidence,0.4,1,24000,0.9495,0.949205047932639,0.0875345544612154,0.21071937743653643,cuml
Least Confidence,0.4,2,24000,0.9483,0.9480011792411517,0.08808368317624356,0.21006934693519105,cuml
Least Confidence,0.4,3,24000,0.9466,0.9461843102697225,0.08829336978019552,0.21031238170380287,cuml
Least Confidence,0.4,4,24000,0.9482,0.9478581478665585,0.0885336551260441,0.21088972497493663,cuml
Least Confidence,0.6,0,36000,0.9381,0.9376980935802693,0.06877523073008363,0.23063319837543325,cuml
Least Confidence,0.6,1,36000,0.9362,0.9357399729701585,0.06885994320184412,0.231512489453168,cuml
Least Confidence,0.6,2,36000,0.9361,0.9356954825177237,0.06865292199900452,0.23175232511171154,cuml
Least Confidence,0.6,3,36000,0.9379,0.9374752052168303,0.0687446694978526,0.23189673625247578,cuml
Least Confidence,0.6,4,36000,0.9373,0.936889837933716,0.06820042704192686,0.2310796791399029,cuml
Least Confidence,0.8,0,48000,0.9286,0.9280692867242759,0.05921077477304559,0.25324188031648337,cuml
Least Confidence,0.8,1,48000,0.9292,0.9285808598421174,0.05843532210902164,0.2537407222547029,cuml
Least Confidence,0.8,2,48000,0.9295,0.9289605217106306,0.05878884917811344,0.2529272706885087,cuml
Least Confidence,0.8,3,48000,0.9301,0.9294991554701527,0.05850903360467208,0.25370105191280967,cuml
Least Confidence,0.8,4,48000,0.9296,0.9290812959947214,0.058668846833078485,0.25283403396606446,cuml
Least Confidence,1.0,0,60000,0.9279,0.9271409223420701,0.048726739001875165,0.2755991571089801,cuml
Least Confidence,1.0,1,60000,0.9272,0.9264044119164447,0.048439560818071124,0.274020631774133,cuml
Least Confidence,1.0,2,60000,0.9261,0.9253312385020512,0.04867475774107861,0.2757874516879811,cuml
Least Confidence,1.0,3,60000,0.9261,0.9253571214199756,0.04884770136921346,0.2769450640478054,cuml
Least Confidence,1.0,4,60000,0.9261,0.9254088388611373,0.04938629294643883,0.27707370790112923,cuml
