strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time,backend
Entropy Sampling,0.2,2,12000,0.098,0.01785063752276867,0.4110797073530114,0.056581466094307274,cuml
Entropy Sampling,0.2,3,12000,0.098,0.01785063752276867,0.41744887310525647,0.05742895084878673,cuml
Entropy Sampling,0.2,4,12000,0.098,0.01785063752276867,0.4151272670082424,0.0569061921990436,cuml
Entropy Sampling,0.4,0,24000,0.098,0.01785063752276867,0.36666614451306934,0.11007543320351458,cuml
Entropy Sampling,0.4,1,24000,0.098,0.01785063752276867,0.367771123317962,0.10990786552429199,cuml
Entropy Sampling,0.4,2,24000,0.098,0.01785063752276867,0.36807376780408496,0.11079270788963805,cuml
Entropy Sampling,0.4,3,24000,0.098,0.01785063752276867,0.3680307611506036,0.11129221510379872,cuml
Entropy Sampling,0.4,4,24000,0.098,0.01785063752276867,0.36837850733006255,0.11151649089569741,cuml
Entropy Sampling,0.6,0,36000,0.098,0.01785063752276867,0.31490160713733084,0.16549646014898595,cuml
Entropy Sampling,0.6,1,36000,0.098,0.01785063752276867,0.3144335478124484,0.16429960223990428,cuml
Entropy Sampling,0.6,2,36000,0.098,0.01785063752276867,0.31538325967923014,0.16313893358472367,cuml
Entropy Sampling,0.6,3,36000,0.098,0.01785063752276867,0.31351586462746206,0.16410541870224643,cuml
Entropy Sampling,0.6,4,36000,0.098,0.01785063752276867,0.31241344733976983,0.1627423494634494,cuml
Entropy Sampling,0.8,0,48000,0.098,0.01785063752276867,0.26978751232749537,0.21866387568022075,cuml
Entropy Sampling,0.8,1,48000,0.098,0.01785063752276867,0.2684464304070724,0.21405031806544253,cuml
Entropy Sampling,0.8,2,48000,0.098,0.01785063752276867,0.2676201293342992,0.2157186332501863,cuml
Entropy Sampling,0.8,3,48000,0.098,0.01785063752276867,0.2685176498011539,0.21756174187911184,cuml
Entropy Sampling,0.8,4,48000,0.098,0.01785063752276867,0.26889613051163525,0.21875686645507814,cuml
Entropy Sampling,1.0,0,60000,0.098,0.01785063752276867,0.22639060020446777,0.271597746039639,cuml
Entropy Sampling,1.0,1,60000,0.098,0.01785063752276867,0.2221723183864305,0.26820671658556,cuml
Entropy Sampling,1.0,2,60000,0.098,0.01785063752276867,0.22455042951247273,0.2718376151653899,cuml
Entropy Sampling,1.0,3,60000,0.098,0.01785063752276867,0.22465538778224914,0.27462418740536987,cuml
Entropy Sampling,1.0,4,60000,0.098,0.01785063752276867,0.2257371930515065,0.2726834561644482,cuml
Margin Sampling,0.2,0,12000,0.098,0.01785063752276867,0.4090171067611031,0.05474591255187988,cuml
Margin Sampling,0.2,1,12000,0.098,0.01785063752276867,0.41415320272031036,0.05539080371027407,cuml
Margin Sampling,0.2,2,12000,0.098,0.01785063752276867,0.4083442273347274,0.05513899222664211,cuml
Margin Sampling,0.2,3,12000,0.098,0.01785063752276867,0.40996139982472296,0.05370962101480235,cuml
Margin Sampling,0.2,4,12000,0.098,0.01785063752276867,0.4150897627291472,0.05639305322066597,cuml
Margin Sampling,0.4,0,24000,0.098,0.01785063752276867,0.3707849573581777,0.11117578567342555,cuml
Margin Sampling,0.4,1,24000,0.098,0.01785063752276867,0.3687900482340062,0.11057563030973394,cuml
Margin Sampling,0.4,2,24000,0.098,0.01785063752276867,0.3714057942654224,0.11175304270805196,cuml
Margin Sampling,0.4,3,24000,0.098,0.01785063752276867,0.37457309885227935,0.11281552213303586,cuml
Margin Sampling,0.4,4,24000,0.098,0.01785063752276867,0.3689385880815222,0.11073988041979202,cuml
